feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LBP_glycan	LBLP5-A-OL1	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97	22		EC:3.2.1.145,EC:3.2.1.164,EC:3.2.1.22,EC:3.2.1.23	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97		Low	Branch | (1→6)-linked Galp; (1→3)-linked Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBLP5-A-OL1	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		Medium	Branch | (1→3)-linked Araf; (1→4)-linked Araf; (1→5)-linked Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBLP5-A-OL1	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		Medium	Branch | (1→2,4)-linked Rhaf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBPA	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-D-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBPA	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→3)-α-Araf; (1→5)-α-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBPA	β-glucuronidase gene	β-glucuronidase gene	GH1,GH2,GH3,GH79	4		EC:3.2.1.31	GH1,GH2,GH3,GH79		High	Branch | (1→6)-β-GlcpA	https://doi.org/10.3390/foods11203177
LBP_glycan	LBPA	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		High	Branch | (1→4)-α-Rhap	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1	α-L-arabinofuranosidase gene	α-L-arabinofuranosidase gene	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		Medium	Branch | (1→2)-linked Araf; (1→3)-linked Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	galactosidase/galactanase candidate unresolved until α/β and chain length are confirmed	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97	22		EC:3.2.1.145,EC:3.2.1.164,EC:3.2.1.22,EC:3.2.1.23	GH1,GH110,GH147,GH16,GH165,GH173,GH2,GH27,GH3,GH30,GH31,GH35,GH36,GH39,GH4,GH42,GH43,GH5,GH50,GH54,GH57,GH97		Low	Branch | (1→3)-linked Galp; (1→4)-linked Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP3	galactan endo-1,3-β-galactosidase gene	galactan endo-1,3-β-galactosidase gene	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		High	Backbone | (1→3)-β-D-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LRGP3	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→5)-α-Araf; (1→2)-α-Araf	https://doi.org/10.3390/foods11203177
